monkey,HitRate,p_trials,Trials,stimulus,sessionType,date
h,0.6536203522504892,20,10224,gfG001,3 Visual Stimuli,2021-05-26 10:57:48
h,0.6555772994129159,25,10224,gfG001,3 Visual Stimuli,2021-05-28 15:17:11
h,0.6418786692759295,30,10224,gfG001,3 Visual Stimuli,2021-05-30 15:41:31
h,0.6868884540117417,35,10224,mf001,3 Visual Stimuli,2021-05-31 11:06:44
h,0.6653620352250489,40,10224,mf001,3 Visual Stimuli,2021-06-01 11:57:25
h,0.6536203522504892,45,10224,mf001,3 Visual Stimuli,2021-06-02 15:54:04
h,0.6731898238747553,50,10224,mf001,3 Visual Stimuli,2021-06-04 10:40:13
h,0.6281800391389433,55,10224,mf001,3 Visual Stimuli,2021-06-05 13:47:53
h,0.6379647749510763,60,10224,gfG001,3 Visual Stimuli,2021-06-09 15:53:58
h,0.62426614481409,65,10224,gfG001,3 Visual Stimuli,2021-06-11 14:33:22
h,0.6673189823874756,70,10224,mf001,3 Visual Stimuli,2021-06-15 11:21:39
h,0.6555772994129159,75,10224,gfG001,3 Visual Stimuli,2021-06-16 13:30:53
h,0.6536203522504892,80,10224,mf001,3 Visual Stimuli,2021-06-17 15:53:42
h,0.6692759295499021,85,10224,mf001,3 Visual Stimuli,2021-06-21 12:50:57
h,0.6634050880626223,90,10224,mf001,3 Visual Stimuli,2021-06-22 12:29:23
h,0.6575342465753424,95,10224,gfG001,3 Visual Stimuli,2021-06-22 14:01:56
h,0.6634050880626223,100,10224,mf001,3 Visual Stimuli,2021-06-23 14:44:40
j,0.5833333333333334,5,12007,mf001,3 Visual Stimuli,2021-05-17 09:54:55
j,0.5933333333333334,10,12007,gfG001,3 Visual Stimuli,2021-05-24 12:54:42
j,0.555,15,12007,mf001,3 Visual Stimuli,2021-05-26 14:28:45
j,0.62,20,12007,mf001,3 Visual Stimuli,2021-05-30 16:34:34
j,0.5883333333333334,25,12007,gfG001,3 Visual Stimuli,2021-05-31 11:03:35
j,0.5866666666666667,30,12007,gfG001,3 Visual Stimuli,2021-06-01 13:13:47
j,0.5916666666666667,35,12007,gfG001,3 Visual Stimuli,2021-06-03 16:04:13
j,0.6583333333333333,40,12007,gfG001,3 Visual Stimuli,2021-06-04 13:34:41
j,0.5983333333333334,45,12007,mf001,3 Visual Stimuli,2021-06-09 15:20:06
j,0.6066666666666667,50,12007,gfG001,3 Visual Stimuli,2021-06-10 12:39:31
j,0.6016666666666667,55,12007,gfG001,3 Visual Stimuli,2021-06-14 14:17:42
j,0.6366666666666667,60,12007,gfG001,3 Visual Stimuli,2021-06-15 13:05:01
j,0.69,65,12007,gfG001,3 Visual Stimuli,2021-06-16 15:06:52
j,0.645,70,12007,gfG001,3 Visual Stimuli,2021-06-17 13:10:01
j,0.6183333333333333,75,12007,gfG001,3 Visual Stimuli,2021-06-18 13:32:54
j,0.615,80,12007,gfG001,3 Visual Stimuli,2021-06-21 14:01:33
j,0.7166666666666667,85,12007,gfG001,3 Visual Stimuli,2021-06-22 14:31:37
j,0.6883333333333334,90,12007,gfG001,3 Visual Stimuli,2021-06-22 13:34:13
j,0.6633333333333333,95,12007,gfG001,3 Visual Stimuli,2021-06-23 14:04:48
j,0.6633333333333333,100,12007,mf001,3 Visual Stimuli,2021-06-24 15:56:36
k,0.5728643216080402,5,11952,mf001,3 Visual Stimuli,2021-04-13 13:55:39
k,0.6331658291457286,10,11952,gfG001,3 Visual Stimuli,2021-04-15 10:18:22
k,0.6867671691792295,15,11952,gfG001,3 Visual Stimuli,2021-04-19 10:26:39
k,0.7169179229480737,20,11952,gfG001,3 Visual Stimuli,2021-04-22 10:17:36
k,0.8073701842546064,25,11952,mf001,3 Visual Stimuli,2021-04-24 09:42:45
k,0.8291457286432161,30,11952,gfG001,3 Visual Stimuli,2021-04-25 13:05:12
k,0.7956448911222781,35,11952,gfG001,3 Visual Stimuli,2021-04-27 11:53:56
k,0.7872696817420436,40,11952,mf001,3 Visual Stimuli,2021-04-29 12:42:23
k,0.8358458961474037,45,11952,gfG001,3 Visual Stimuli,2021-05-03 10:13:20
k,0.8726968174204355,50,11952,gfG001,3 Visual Stimuli,2021-05-05 11:54:09
k,0.8911222780569514,55,11952,mf001,3 Visual Stimuli,2021-05-06 10:48:38
k,0.897822445561139,60,11952,gfG001,3 Visual Stimuli,2021-05-08 09:52:07
k,0.9028475711892797,65,11952,mf001,3 Visual Stimuli,2021-05-10 09:09:39
k,0.9028475711892797,70,11952,gfG001,3 Visual Stimuli,2021-05-12 09:44:34
k,0.9262981574539364,75,11952,mf001,3 Visual Stimuli,2021-05-14 10:26:03
k,0.897822445561139,80,11952,gfG001,3 Visual Stimuli,2021-05-15 12:35:53
k,0.8944723618090452,85,11952,mf001,3 Visual Stimuli,2021-05-17 10:08:35
k,0.9195979899497487,90,11952,gfG001,3 Visual Stimuli,2021-05-19 10:19:34
k,0.9380234505862647,95,11952,mf001,3 Visual Stimuli,2021-05-21 10:57:45
k,0.8961474036850922,100,11952,gfG001,3 Visual Stimuli,2021-05-24 09:48:09
