ITI;Outcome;animal
4709.0;reward;d
3776.0;reward;d
2968.0;reward;d
4483.0;wrong;d
4717.0;reward;d
3979.0;reward;d
3917.0;reward;d
3717.0;wrong;d
4375.0;wrong;d
4302.0;wrong;d
5457.0;wrong;d
4309.0;wrong;d
4588.0;wrong;d
4943.0;wrong;d
4948.0;wrong;d
4370.0;reward;d
4166.0;reward;d
4391.0;reward;d
3749.0;wrong;d
4708.0;wrong;d
4806.0;wrong;d
4951.0;reward;d
4781.0;reward;d
3231.0;reward;d
4605.0;wrong;d
4704.0;wrong;d
4289.0;wrong;d
4310.0;wrong;d
4766.0;reward;d
3515.0;reward;d
4170.0;wrong;d
4272.0;wrong;d
5508.0;reward;d
3360.0;wrong;d
4511.0;wrong;d
7266.0;reward;d
4962.0;reward;d
4711.0;wrong;d
4312.0;wrong;d
4854.0;wrong;d
4252.0;wrong;d
5170.0;reward;d
3469.0;wrong;d
4413.0;wrong;d
4855.0;wrong;d
4222.0;wrong;d
21038.0;wrong;d
4366.0;wrong;d
4380.0;wrong;d
4370.0;wrong;d
4680.0;reward;d
3458.0;reward;d
5872.0;reward;d
4110.0;reward;d
4274.0;reward;d
4127.0;reward;d
3842.0;reward;d
3912.0;reward;d
3926.0;wrong;d
5908.0;reward;d
3399.0;reward;d
3735.0;wrong;d
5696.0;wrong;d
4087.0;wrong;d
4877.0;wrong;d
4825.0;wrong;d
15330.0;wrong;d
6642.0;wrong;d
4707.0;wrong;d
4294.0;wrong;d
4360.0;wrong;d
4190.0;wrong;d
12628.0;wrong;d
4171.0;wrong;d
4445.0;reward;d
4989.0;reward;d
3455.0;reward;d
3713.0;reward;d
4309.0;reward;d
4249.0;wrong;d
4410.0;wrong;d
4234.0;wrong;d
4877.0;reward;d
3772.0;reward;d
4079.0;wrong;d
4414.0;reward;d
4227.0;wrong;d
4317.0;reward;d
3530.0;reward;d
4467.0;reward;d
4304.0;reward;d
4584.0;reward;d
3595.0;reward;d
2858.0;wrong;d
5653.0;reward;d
4140.0;reward;d
4347.0;wrong;d
4528.0;wrong;d
4165.0;wrong;d
5223.0;reward;d
3863.0;reward;d
4553.0;wrong;d
4332.0;wrong;d
4503.0;reward;d
3462.0;wrong;d
5034.0;reward;d
3517.0;wrong;d
4293.0;wrong;d
4306.0;wrong;d
4578.0;reward;d
3711.0;reward;d
4864.0;reward;d
3531.0;reward;d
3885.0;reward;d
5321.0;wrong;d
4919.0;reward;d
3659.0;wrong;d
5024.0;wrong;d
5154.0;wrong;d
4201.0;wrong;d
4798.0;wrong;d
4806.0;wrong;d
4255.0;wrong;d
6068.0;wrong;d
24833.0;reward;d
3926.0;reward;d
3928.0;wrong;d
6505.0;wrong;d
4994.0;wrong;d
4378.0;wrong;d
14144.0;wrong;d
4103.0;wrong;d
4151.0;wrong;d
4968.0;wrong;d
4191.0;wrong;d
5076.0;wrong;d
4154.0;wrong;d
4912.0;reward;d
3572.0;wrong;d
4070.0;wrong;d
4284.0;reward;d
4197.0;wrong;d
4289.0;wrong;d
4927.0;reward;d
3912.0;reward;d
4163.0;wrong;d
5109.0;reward;d
4966.0;reward;d
4038.0;reward;d
3752.0;wrong;d
4292.0;wrong;d
4649.0;reward;d
3896.0;reward;d
4576.0;reward;d
3280.0;wrong;d
5523.0;reward;d
4833.0;wrong;d
4853.0;wrong;d
4996.0;wrong;d
4202.0;reward;d
4662.0;wrong;d
4654.0;reward;d
4036.0;reward;d
4217.0;reward;d
4109.0;reward;d
3110.0;wrong;d
4239.0;wrong;d
4151.0;reward;d
4068.0;reward;d
3837.0;reward;d
2968.0;reward;d
3596.0;wrong;d
4319.0;wrong;d
4630.0;wrong;d
4653.0;wrong;d
4990.0;wrong;d
4962.0;reward;d
3012.0;wrong;d
5673.0;reward;d
3764.0;reward;d
4411.0;reward;d
3602.0;wrong;d
4420.0;wrong;d
5142.0;wrong;d
4335.0;wrong;d
4699.0;wrong;d
5082.0;wrong;d
4110.0;reward;d
3743.0;reward;d
3874.0;wrong;d
4782.0;reward;d
3464.0;reward;d
4507.0;reward;d
3626.0;reward;d
3405.0;wrong;d
4293.0;wrong;d
4725.0;reward;d
3429.0;reward;d
3734.0;reward;d
3417.0;wrong;d
4941.0;reward;d
3811.0;wrong;d
4150.0;reward;d
3673.0;reward;d
4125.0;reward;d
3749.0;wrong;d
4391.0;wrong;d
4218.0;wrong;d
4765.0;reward;d
5608.0;reward;d
4023.0;wrong;d
3980.0;reward;d
3751.0;wrong;d
4721.0;wrong;d
4368.0;wrong;d
4801.0;reward;d
4117.0;reward;d
4668.0;reward;d
4629.0;reward;d
10835.0;wrong;d
4013.0;reward;d
5127.0;reward;d
3565.0;reward;d
3742.0;reward;d
3732.0;wrong;d
4991.0;wrong;d
4969.0;reward;d
3629.0;reward;d
4555.0;reward;d
4683.0;wrong;d
6030.0;reward;d
3702.0;wrong;d
4496.0;reward;d
3351.0;wrong;d
4168.0;wrong;d
4866.0;wrong;d
5043.0;reward;d
3308.0;wrong;d
4282.0;wrong;d
5610.0;wrong;d
4930.0;wrong;d
4918.0;wrong;d
4768.0;reward;d
5751.0;wrong;d
4998.0;reward;d
4210.0;reward;d
5116.0;wrong;d
6304.0;reward;d
4117.0;reward;d
3205.0;wrong;d
4311.0;wrong;d
4812.0;reward;d
4562.0;reward;d
4556.0;reward;d
3928.0;wrong;d
4673.0;reward;d
3532.0;wrong;d
4658.0;wrong;d
5586.0;wrong;d
4355.0;wrong;d
4704.0;wrong;d
4312.0;wrong;d
5273.0;wrong;d
4266.0;reward;d
4138.0;wrong;d
4362.0;wrong;d
4129.0;wrong;d
4218.0;wrong;d
37838.0;wrong;d
4795.0;reward;d
4682.0;reward;d
5577.0;wrong;d
4536.0;reward;d
4172.0;reward;d
5809.0;reward;d
3597.0;reward;d
4072.0;reward;d
4922.0;wrong;d
5072.0;reward;d
3940.0;wrong;d
4697.0;reward;d
4927.0;reward;d
3591.0;reward;d
3728.0;reward;d
8632.0;reward;d
3302.0;wrong;d
4895.0;reward;d
6504.0;wrong;d
6245.0;reward;d
3706.0;reward;d
3983.0;wrong;d
4181.0;wrong;d
4282.0;wrong;d
4133.0;wrong;d
6274.0;reward;d
4737.0;reward;d
4517.0;reward;d
4130.0;reward;d
3595.0;wrong;d
4685.0;wrong;d
4866.0;reward;d
3688.0;wrong;d
4131.0;wrong;d
6284.0;wrong;d
5250.0;wrong;d
5336.0;wrong;d
5149.0;wrong;d
4523.0;wrong;d
4135.0;wrong;d
23326.0;wrong;d
4133.0;wrong;d
4185.0;wrong;d
5046.0;wrong;d
4116.0;reward;d
4434.0;reward;d
4523.0;reward;d
3270.0;wrong;d
4215.0;wrong;d
5760.0;reward;d
4212.0;reward;d
3298.0;wrong;d
4922.0;reward;d
3098.0;wrong;d
5129.0;wrong;d
4838.0;wrong;d
4876.0;reward;d
5659.0;reward;d
3972.0;reward;d
3424.0;reward;d
4944.0;wrong;d
6225.0;wrong;d
4935.0;reward;d
3188.0;wrong;d
4635.0;reward;d
4499.0;reward;d
3815.0;reward;d
5226.0;wrong;d
4159.0;wrong;d
4995.0;wrong;d
5729.0;reward;d
3343.0;reward;d
3281.0;wrong;d
4579.0;wrong;d
4784.0;wrong;d
4257.0;wrong;d
6374.0;wrong;d
5457.0;reward;d
4026.0;wrong;d
5093.0;reward;d
4356.0;wrong;d
4748.0;reward;d
3595.0;reward;d
4213.0;reward;d
4000.0;wrong;d
4308.0;reward;d
5661.0;reward;d
3787.0;reward;d
4274.0;reward;d
4311.0;reward;d
3408.0;wrong;d
9160.0;wrong;d
31652.0;reward;d
3610.0;wrong;d
4337.0;wrong;d
4264.0;wrong;d
4821.0;wrong;d
6987.0;reward;d
4614.0;wrong;d
5355.0;reward;d
4546.0;reward;d
4872.0;wrong;d
4329.0;wrong;d
4951.0;wrong;d
-1784381.0;wrong;d
4205.0;reward;d
3919.0;reward;d
3704.0;reward;d
3384.0;reward;d
21818.0;reward;d
3753.0;wrong;d
8453.0;wrong;d
4806.0;reward;d
7182.0;reward;d
5094.0;reward;d
5528.0;wrong;d
4575.0;wrong;d
4212.0;wrong;d
4437.0;wrong;d
4286.0;wrong;d
7031.0;wrong;d
4201.0;wrong;d
5105.0;wrong;d
5120.0;wrong;d
4559.0;wrong;d
4157.0;wrong;d
4301.0;wrong;d
4364.0;reward;d
3284.0;wrong;d
5685.0;reward;d
3091.0;wrong;d
4493.0;wrong;d
4440.0;wrong;d
4051.0;wrong;d
4760.0;wrong;d
4098.0;wrong;d
4083.0;wrong;d
6238.0;reward;d
3278.0;wrong;d
4650.0;wrong;d
4830.0;wrong;d
4070.0;wrong;d
4874.0;reward;d
4140.0;wrong;d
4731.0;reward;d
3874.0;reward;d
4246.0;reward;d
4145.0;reward;d
4011.0;reward;d
3925.0;reward;d
3724.0;reward;d
4072.0;wrong;d
4823.0;reward;d
3697.0;reward;d
5726.0;reward;d
3958.0;wrong;d
4445.0;wrong;d
5837.0;wrong;d
4290.0;wrong;d
4525.0;reward;d
4214.0;reward;d
6094.0;wrong;d
5986.0;reward;d
4543.0;reward;d
3300.0;wrong;d
5877.0;reward;d
3921.0;reward;d
4570.0;reward;d
3054.0;wrong;d
4384.0;reward;d
3497.0;reward;d
4441.0;reward;d
4810.0;reward;d
3970.0;reward;d
3334.0;wrong;d
5301.0;wrong;d
21473.0;wrong;d
4800.0;wrong;d
4736.0;reward;d
5086.0;wrong;d
4118.0;wrong;d
4354.0;wrong;d
4210.0;wrong;d
6194.0;wrong;d
6414.0;wrong;d
4192.0;wrong;d
4788.0;reward;d
6770.0;reward;d
3782.0;reward;d
4003.0;wrong;d
4483.0;wrong;d
4247.0;wrong;d
5610.0;wrong;d
5325.0;wrong;d
4427.0;reward;d
3707.0;reward;d
4370.0;wrong;d
4868.0;reward;d
3584.0;reward;d
3571.0;wrong;d
4404.0;wrong;d
4335.0;wrong;d
4803.0;reward;d
6515.0;reward;d
3902.0;wrong;d
4186.0;wrong;d
4426.0;wrong;d
4340.0;wrong;d
4202.0;wrong;d
4261.0;reward;d
3907.0;wrong;d
4439.0;reward;d
3379.0;wrong;d
4210.0;wrong;d
4780.0;wrong;d
4406.0;wrong;d
4166.0;wrong;d
6228.0;wrong;d
5502.0;wrong;d
4956.0;reward;d
5781.0;reward;d
3923.0;wrong;d
4497.0;wrong;d
5955.0;reward;d
3330.0;wrong;d
4116.0;wrong;d
4276.0;wrong;d
5749.0;wrong;d
4443.0;wrong;d
7263.0;wrong;d
-665911.0;reward;d
19304.0;reward;d
3611.0;reward;d
5530.0;reward;d
4361.0;reward;d
3436.0;reward;d
4023.0;wrong;d
5249.0;wrong;d
4929.0;wrong;d
4625.0;reward;d
4041.0;reward;d
3958.0;reward;d
4307.0;reward;d
2812.0;wrong;d
4294.0;wrong;d
6844.0;wrong;d
4601.0;reward;d
3913.0;wrong;d
4686.0;wrong;d
4661.0;wrong;d
4973.0;reward;d
2969.0;wrong;d
4914.0;reward;d
4327.0;wrong;d
4604.0;reward;d
4239.0;reward;d
3278.0;wrong;d
4036.0;wrong;d
4401.0;reward;d
3984.0;wrong;d
6384.0;reward;d
4122.0;reward;d
4052.0;wrong;d
4695.0;wrong;d
4571.0;wrong;d
4110.0;reward;d
6554.0;reward;d
3983.0;reward;d
4219.0;wrong;d
4583.0;wrong;d
4738.0;wrong;d
5078.0;reward;d
3804.0;reward;d
3613.0;wrong;d
4344.0;wrong;d
4962.0;wrong;d
4099.0;wrong;d
4717.0;wrong;d
5583.0;reward;d
3612.0;wrong;d
5539.0;wrong;d
4125.0;wrong;d
5522.0;reward;d
4003.0;wrong;d
4714.0;reward;d
3287.0;wrong;d
4100.0;wrong;d
4565.0;wrong;d
14433.0;wrong;d
4556.0;reward;d
5724.0;reward;d
3728.0;wrong;d
4232.0;reward;d
3249.0;reward;d
5152.0;wrong;d
5378.0;reward;d
4017.0;wrong;d
4134.0;reward;d
4673.0;wrong;d
5621.0;reward;d
3079.0;wrong;d
4670.0;wrong;d
4352.0;wrong;d
4553.0;reward;d
4093.0;reward;d
3980.0;reward;d
4380.0;reward;d
4608.0;reward;d
3711.0;wrong;d
4525.0;reward;d
4093.0;reward;d
4500.0;wrong;d
5332.0;wrong;d
4372.0;wrong;d
4649.0;reward;d
3918.0;reward;d
3917.0;reward;d
4165.0;reward;d
4239.0;wrong;d
4950.0;reward;d
4599.0;reward;d
3937.0;reward;d
3899.0;wrong;d
4629.0;reward;d
3313.0;wrong;d
5905.0;reward;d
4543.0;reward;d
4146.0;wrong;d
4917.0;reward;d
6277.0;wrong;d
4851.0;reward;d
3952.0;reward;d
4914.0;wrong;d
4397.0;reward;d
4336.0;wrong;d
5115.0;reward;d
3674.0;wrong;d
4711.0;reward;d
3957.0;reward;d
3760.0;reward;d
4581.0;reward;d
4103.0;reward;d
14623.0;reward;d
4269.0;wrong;d
5224.0;reward;d
6009.0;wrong;d
7740.0;reward;d
4113.0;reward;d
4491.0;reward;d
3926.0;wrong;d
4755.0;reward;d
3607.0;reward;d
4511.0;reward;d
4407.0;reward;d
6367.0;reward;d
4337.0;reward;d
3809.0;wrong;d
5195.0;reward;d
4147.0;reward;d
4076.0;wrong;d
4866.0;reward;d
4305.0;wrong;d
5975.0;reward;d
4692.0;reward;d
4634.0;reward;d
4074.0;wrong;d
4457.0;wrong;d
7054.0;wrong;d
4255.0;wrong;d
4639.0;reward;d
4359.0;reward;d
4962.0;reward;d
5524.0;reward;d
4340.0;wrong;d
4264.0;reward;d
5534.0;reward;d
3655.0;reward;d
4399.0;reward;d
3274.0;reward;d
3765.0;reward;d
4104.0;wrong;d
4248.0;reward;d
4272.0;reward;d
3862.0;wrong;d
4082.0;wrong;d
4065.0;reward;d
3712.0;wrong;d
4179.0;wrong;d
4169.0;reward;d
3536.0;wrong;d
4421.0;wrong;d
4068.0;wrong;d
5688.0;reward;d
3698.0;reward;d
3135.0;wrong;d
4056.0;wrong;d
4329.0;reward;d
3695.0;wrong;d
4807.0;wrong;d
4307.0;reward;d
4820.0;wrong;d
13681.0;reward;d
3125.0;wrong;d
4022.0;wrong;d
4122.0;wrong;d
4060.0;wrong;d
4337.0;wrong;d
4222.0;wrong;d
4716.0;wrong;d
4277.0;wrong;d
4212.0;reward;d
3663.0;wrong;d
5211.0;wrong;d
5610.0;reward;d
3975.0;wrong;d
5792.0;wrong;d
4232.0;reward;d
3616.0;reward;d
3811.0;reward;d
4324.0;wrong;d
4458.0;wrong;d
20660.0;wrong;d
4870.0;wrong;d
4924.0;wrong;d
6002.0;reward;d
3513.0;wrong;d
4777.0;reward;d
4328.0;reward;d
3793.0;reward;d
4410.0;reward;d
4728.0;reward;d
4711.0;wrong;d
4313.0;reward;d
4002.0;reward;d
3876.0;reward;d
3493.0;wrong;d
4734.0;wrong;d
4523.0;reward;d
3497.0;reward;d
3398.0;wrong;d
4279.0;reward;d
3243.0;wrong;d
4717.0;wrong;d
4586.0;wrong;d
4018.0;wrong;d
4085.0;wrong;d
17713.0;reward;d
3570.0;reward;d
3799.0;reward;d
5007.0;wrong;d
4922.0;wrong;d
4421.0;wrong;d
4304.0;reward;d
3628.0;wrong;d
4751.0;wrong;d
4605.0;wrong;d
4149.0;wrong;d
4377.0;wrong;d
4816.0;wrong;d
4792.0;wrong;d
4951.0;wrong;d
4069.0;reward;d
4103.0;reward;d
3291.0;wrong;d
4233.0;wrong;d
4593.0;wrong;d
5194.0;reward;d
5070.0;reward;d
3302.0;wrong;d
4404.0;wrong;d
4630.0;wrong;d
4891.0;reward;d
4344.0;reward;d
5076.0;reward;d
3673.0;wrong;d
4961.0;reward;d
4974.0;reward;d
3264.0;wrong;d
4577.0;reward;d
4036.0;reward;d
4306.0;reward;d
3719.0;reward;d
4021.0;reward;d
3115.0;reward;d
-755485.0;wrong;d
4866.0;wrong;d
4177.0;reward;d
3730.0;wrong;d
4219.0;wrong;d
4710.0;wrong;d
4234.0;wrong;d
4113.0;wrong;d
4395.0;wrong;d
4624.0;wrong;d
4246.0;wrong;d
4105.0;wrong;d
4281.0;wrong;d
4246.0;wrong;d
4002.0;wrong;d
