animal;HitRate;p_trials;Trials;stimulus;task;date
k;0.783625730994152;50;1711;reward;['twitter','puretone'];2021-05-27 13:03:09
k;0.8362573099415205;60;1711;reward;['twitter','puretone'];2021-05-28 14:25:14
k;0.7894736842105263;70;1711;reward;['twitter','puretone'];2021-05-28 15:16:10
k;0.7368421052631579;80;1711;reward;['twitter','puretone'];2021-05-29 13:26:44
k;0.7894736842105263;90;1711;reward;['twitter','puretone'];2021-05-29 13:45:00
k;0.6608187134502924;100;1711;reward;['twitter','puretone'];2021-05-29 15:18:30
d;0.8537313432835821;10;3352;reward;['twitter','puretone'];2021-01-25 15:17:28
d;0.8298507462686567;20;3352;reward;['twitter','puretone'];2021-01-28 15:08:11
d;0.8835820895522388;30;3352;reward;['twitter','puretone'];2021-01-30 11:19:28
d;0.8477611940298507;40;3352;reward;['twitter','puretone'];2021-02-01 14:31:13
d;0.808955223880597;50;3352;reward;['twitter','puretone'];2021-02-02 16:18:27
d;0.9373134328358209;60;3352;reward;['twitter','puretone'];2021-02-08 15:26:53
d;0.9373134328358209;70;3352;reward;['twitter','puretone'];2021-02-09 14:17:52
d;0.9283582089552239;80;3352;reward;['twitter','puretone'];2021-02-10 15:21:48
d;0.9044776119402985;90;3352;reward;['twitter','puretone'];2021-02-13 11:36:04
d;0.8985074626865671;100;3352;reward;['twitter','puretone'];2021-02-14 13:58:59
i;1.0;10;1365;reward;['twitter','puretone'];2021-01-25 15:41:05
i;1.0;20;1365;reward;['twitter','puretone'];2021-01-27 14:08:46
i;0.9485294117647058;30;1365;reward;['twitter','puretone'];2021-01-28 11:33:09
i;0.7426470588235294;40;1365;reward;['twitter','puretone'];2021-01-29 16:03:40
i;0.6323529411764706;50;1365;wrong;['twitter','puretone'];2021-01-30 11:31:39
i;0.6691176470588235;60;1365;reward;['twitter','puretone'];2021-02-01 12:01:26
i;0.7352941176470589;70;1365;reward;['twitter','puretone'];2021-02-05 11:53:52
i;0.8676470588235294;80;1365;reward;['twitter','puretone'];2021-02-09 14:41:15
i;0.7867647058823529;90;1365;reward;['twitter','puretone'];2021-02-10 14:39:01
i;0.8014705882352942;100;1365;reward;['twitter','puretone'];2021-02-13 14:59:29
b;0.5495049504950495;10;4041;reward;['wnoise','twitter'];2021-05-30 13:40:54
b;0.5643564356435643;20;4041;wrong;['wnoise','twitter'];2021-06-01 11:33:34
b;0.5420792079207921;30;4041;reward;['wnoise','twitter'];2021-06-03 12:40:48
